edp_id,empresa_id,empresa_nombre,periodo,fecha_generacion,fecha_inicio,fecha_fin,monto_facturado_actual,devoluciones_fuera_periodo,monto_facturado_corregido,cc_id,cc_monto_actual,cc_monto_corregido,cc_referencia
7725,369,"IMOPAC LTDA.",2026-07,2026-07-31T18:47:22.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,1351350,1188200,2539550,7240,1351350,2539550,CARGO-EDC-7725
7743,7,"TANDEM (ARRIENDO EQUIPOS)",2026-07,2026-08-03T17:16:41.000Z,2026-07-03 00:00:00,2026-07-31 23:59:59,18479695,642850,19122545,7255,18479695,19122545,CARGO-EDC-7743
7708,16,"EMPRESA CONSTRUCTORA ECOCIL S.A (M19704-4)",2026-07,2026-07-31T18:30:52.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,115050,622700,737750,7223,115050,737750,CARGO-EDC-7708
7722,440,"SOC. DE OPERACIONES GEOFISICAS LIMITADA",2026-07,2026-07-31T18:43:05.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,1930500,456950,2387450,7237,1930500,2387450,CARGO-EDC-7722
7706,20,"RECON DRILLING CHILE SPA",2026-07,2026-07-31T18:29:08.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,1903070,274300,2177370,7221,1903070,2177370,CARGO-EDC-7706
7709,356,"GESTION DE PROYECTOS PRO  LIMITADA",2026-07,2026-07-31T18:31:17.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,1006980,267800,1274780,7224,1006980,1274780,CARGO-EDC-7709
7729,446,"SOCIEDAD ORIETTA ARAYA PANGUE HIJOS Y CIA (RENTAMAQ)",2026-07,2026-07-31T18:51:07.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,5976100,223600,6199700,7244,5976100,6199700,CARGO-EDC-7729
7711,417,"RUBEN CERDA E HIJOS LTDA.",2026-07,2026-07-31T18:33:38.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,162630,219700,382330,7226,162630,382330,CARGO-EDC-7711
7730,28,"GEORGES CHARIF SAID HOTELERIA RESTAUTANT EIRL (C23281-K)",2026-07,2026-07-31T18:52:14.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,7265700,109200,7374900,7245,7265700,7374900,CARGO-EDC-7730
7723,348,"FENIX GOLD LIMITADA",2026-07,2026-07-31T18:45:33.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,0,102375,102375,7238,0,102375,CARGO-EDC-7723
7726,30,"Constructora de Pavimentos Asfálticos Bitumix S.A. (M20824-0)",2026-07,2026-07-31T18:48:18.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,2865460,102050,2967510,7241,2865460,2967510,CARGO-EDC-7726
7727,338,"ELIAS RESK CONTRERAS TRASNPORTES Y SERVI",2026-07,2026-07-31T18:49:20.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,3448575,91000,3539575,7242,3448575,3539575,CARGO-EDC-7727
7718,272,"ASESORIA TECNICA EN MONTAÑA PUCARA S.A.",2026-07,2026-07-31T18:37:46.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,325650,83850,409500,7233,325650,409500,CARGO-EDC-7718
7728,25,"ELECCON MAQUINARIAS SPA",2026-07,2026-07-31T18:50:11.000Z,2026-07-03 00:00:00,2026-07-30 23:59:59,6654960,41600,6696560,7243,6654960,6696560,CARGO-EDC-7728
