nombre_empresa,estado,porcentaje_recargo,porcentaje_devolucion,dia_facturacion,dia_vencimiento,monto_maximo,monto_acumulado,rut_empresa,cuenta_corriente
ACCIONA CONSTRUCCION S.A AGENCIA CHILE  (M23237-0),1,30,1.00,21,15,1000000,0,59069860-1,M23237-0
ACCIONA CONSTRUCCION S.A AGENCIA CHILE  (M23321-0),1,30,1.00,21,15,1000000,0,59069860-1,M23321-0
ACCIONA CONSTRUCCION S.A AGENCIA CHILE  (M23654-6),1,30,1.00,21,15,1000000,0,59069860-1,M23654-6
ADMINISTRADORA DE FONDOS DE PENSION HABI (C23135-K),1,30,1.00,21,15,1,0,98000100-8,C23135-K
ADMINISTRADORA DE FONDOS DE PENSION HABI (G19017-K),1,30,1.00,21,15,1,0,98000100-8,G19017-K
AMECO CHILE S A (A11109-8),1,30,1.00,21,15,1,0,96862140-8,A11109-8
AMECO CHILE S A (A11110-1),1,30,1.00,21,15,1,0,96862140-8,A11110-1
AMECO CHILE S A (C23252-6),1,30,1.00,21,15,1,0,96862140-8,C23252-6
AMECO CHILE S A (D46121-9),1,30,1.00,21,15,1,0,96862140-8,D46121-9
AMECO CHILE S A (M21500-K),1,30,1.00,21,15,1,0,96862140-8,M21500-K
AMECO CHILE S A (M21892-0),1,30,1.00,21,15,2500000,0,96862140-8,M21892-0
AMECO CHILE S A (M21893-9),1,30,1.00,21,15,2500000,0,96862140-8,M21893-9
AMECO CHILE S A (M21894-7),1,30,1.00,21,15,2500000,0,96862140-8,M21894-7
AMECO CHILE S A (M22759-8),1,30,1.00,21,15,1000000,0,96862140-8,M22759-8
AMECO CHILE S A (M22803-9),1,30,1.00,21,15,1000000,0,96862140-8,M22803-9
AMECO CHILE S A (M23424-1),1,30,1.00,21,15,1000000,0,96862140-8,M23424-1
AMECO CHILE S A (M23534-5),1,30,1.00,21,15,1000000,0,96862140-8,M23534-5
AMECO CHILE S A (M23540-K),1,30,1.00,21,15,1000000,0,96862140-8,M23540-K
AMECO CHILE S A (M23571-K),1,30,1.00,21,15,1000000,0,96862140-8,M23571-K
AMECO CHILE S A (M23740-2),1,30,1.00,21,15,1000000,0,96862140-8,M23740-2
AMECO CHILE S A (M23741-0),1,30,1.00,21,15,1000000,0,96862140-8,M23741-0
AMECO CHILE S A (M23742-9),1,30,1.00,21,15,1000000,0,96862140-8,M23742-9
AMECO CHILE S A (M23743-7),1,30,1.00,21,15,1000000,0,96862140-8,M23743-7
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M22741-5),1,30,1.00,21,15,1000000,0,76117696-K,M22741-5
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M23212-5),1,30,1.00,21,15,1000000,0,76117696-K,M23212-5
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M23316-4),1,30,1.00,21,15,1000000,0,76117696-K,M23316-4
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M23361-K),1,30,1.00,21,15,1000000,0,76117696-K,M23361-K
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M23362-8),1,30,1.00,21,15,1000000,0,76117696-K,M23362-8
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M23363-6),1,30,1.00,21,15,1000000,0,76117696-K,M23363-6
ARAMARK SERVICIOS MINEROS Y REMOTOS LTDA (M23364-4),1,30,1.00,21,15,1000000,0,76117696-K,M23364-4
